annee,iso3_origine,nb_cat,deces,affect
2015,AGO,4,459.0,9599.0
2015,BDI,2,72.0,7179.0
2015,BFA,2,23.0,28925.0
2015,BWA,1,0.0,0.0
2015,CAF,3,133.0,1292.0
2015,CIV,2,35.0,35.0
2015,CMR,2,4.0,30858.0
2015,COD,8,196.0,248117.0
2015,CPV,2,24.0,10.0
2015,DZA,3,30.0,35050.0
2015,EGY,9,267.0,256.0
2015,ETH,2,0.0,10410600.0
2015,GHA,3,260.0,5525.0
2015,GIN,4,38.0,30131.0
2015,GMB,1,0.0,63100.0
2015,GNB,1,11.0,2.0
2015,KEN,4,139.0,245440.0
2015,LBY,4,1012.0,537.0
2015,MAR,1,34.0,0.0
2015,MDG,3,121.0,234887.0
2015,MLI,2,15.0,2000.0
2015,MOZ,2,229.0,177684.0
2015,MRT,1,14.0,20.0
2015,MWI,4,294.0,7339688.0
2015,NAM,1,0.0,580000.0
2015,NER,3,33.0,2678535.0
2015,NGA,6,347.0,102573.0
2015,RWA,1,2.0,3431.0
2015,SDN,3,36.0,800000.0
2015,SEN,1,13.0,466.0
2015,SLE,1,10.0,24303.0
2015,SOM,5,0.0,7620296.0
2015,SSD,3,291.0,1968.0
2015,SWZ,1,12.0,20.0
2015,TGO,1,24.0,324.0
2015,TUN,1,18.0,98.0
2015,TZA,7,723.0,47854.0
2015,UGA,2,31.0,0.0
2015,ZAF,11,113.0,2706060.0
2015,ZMB,2,34.0,4.0
2015,ZWE,3,34.0,532.0
2016,AGO,4,113.0,9899.0
2016,BDI,3,41.0,343.0
2016,BEN,2,39.0,778.0
2016,BFA,3,54.0,34959.0
2016,CAF,1,21.0,266.0
2016,CIV,1,20.0,0.0
2016,CMR,1,75.0,600.0
2016,COD,6,162.0,15295.0
2016,DZA,3,58.0,24.0
2016,EGY,6,299.0,32751.0
2016,ETH,4,203.0,493089.0
2016,GAB,1,18.0,0.0
2016,GHA,3,71.0,197.0
2016,GIN,1,15.0,30.0
2016,KEN,5,124.0,3411000.0
2016,LBR,1,0.0,15431.0
2016,LBY,10,1363.0,2200.0
2016,LSO,1,0.0,709000.0
2016,MAR,1,0.0,750000.0
2016,MDG,3,41.0,1140242.0
2016,MLI,1,13.0,9500.0
2016,MOZ,5,168.0,2473350.0
2016,MWI,1,12.0,2800.0
2016,NER,3,84.0,126344.0
2016,NGA,8,1556.0,28662.0
2016,RWA,2,117.0,30030.0
2016,SDN,3,206.0,200665.0
2016,SEN,1,5.0,10646.0
2016,SOM,3,612.0,14165.0
2016,SSD,4,83.0,3625826.0
2016,SWZ,1,0.0,492000.0
2016,TZA,4,33.0,279876.0
2016,UGA,5,69.0,11605.0
2016,ZAF,4,24.0,7641.0
2016,ZMB,1,24.0,0.0
2016,ZWE,2,61.0,2036.0
2017,AGO,3,28.0,1450310.0
2017,BDI,1,6.0,810.0
2017,BFA,2,20.0,9911.0
2017,BWA,1,0.0,3250.0
2017,CAF,4,87.0,7270.0
2017,CIV,2,17.0,846.0
2017,CMR,3,57.0,12895.0
2017,COD,9,491.0,1571.0
2017,CPV,1,0.0,70000.0
2017,DZA,2,17.0,125005.0
2017,EGY,4,81.0,172.0
2017,GHA,3,42.0,1000012.0
2017,GIN,2,0.0,3409.0
2017,GMB,1,6.0,20000.0
2017,KEN,7,185.0,29431.0
2017,LBY,7,470.0,200.0
2017,MAR,5,37.0,1650066.0
2017,MDG,5,369.0,1696659.0
2017,MOZ,3,29.0,751905.0
2017,MRT,2,18.0,3895814.0
2017,MWI,3,24.0,56371.0
2017,NAM,1,0.0,2502.0
2017,NER,6,216.0,1343227.0
2017,NGA,7,142.0,12204.0
2017,RWA,2,3.0,6553.0
2017,SDN,2,682.0,86409.0
2017,SEN,6,113.0,264.0
2017,SLE,1,1102.0,11916.0
2017,SOM,1,302.0,13126.0
2017,TCD,2,58.0,1887452.0
2017,TGO,1,0.0,16060.0
2017,TUN,2,46.0,2000.0
2017,TZA,4,52.0,0.0
2017,UGA,2,31.0,31.0
2017,ZAF,6,51.0,13136.0
2017,ZMB,1,89.0,4371.0
2017,ZWE,4,315.0,7013043.0
2018,AGO,3,27.0,3151.0
2018,BDI,3,0.0,47956.0
2018,BWA,1,0.0,4225.0
2018,CAF,1,1.0,119.0
2018,CIV,1,20.0,25000.0
