annee,pays_accueil,iso3_accueil,iso2_accueil,pays_origine,iso3_origine,dec_pos,dec_rej,dec_total,taux
2017,Finland,FIN,FI,Algeria,DZA,0,18,41,0.0
2017,Finland,FIN,FI,Angola,AGO,0,0,15,0.0
2017,Finland,FIN,FI,Egypt,EGY,0,5,10,0.0
2017,Finland,FIN,FI,Cameroon,CMR,0,11,33,0.0
2017,Finland,FIN,FI,Congo,COG,0,0,5,0.0
2017,Finland,FIN,FI,Dem. Rep. of the Congo,COD,0,5,17,0.0
2017,Finland,FIN,FI,Eritrea,ERI,225,0,230,97.83
2017,Finland,FIN,FI,Ethiopia,ETH,15,17,37,40.54
2017,Finland,FIN,FI,Gabon,GAB,0,0,5,0.0
2017,Finland,FIN,FI,Gambia,GMB,0,13,43,0.0
2017,Finland,FIN,FI,Ghana,GHA,0,5,19,0.0
2017,Finland,FIN,FI,Guinea,GIN,0,0,5,0.0
2017,Finland,FIN,FI,Cote d'Ivoire,CIV,0,0,5,0.0
2017,Finland,FIN,FI,Kenya,KEN,0,5,5,0.0
2017,Finland,FIN,FI,Liberia,LBR,0,0,5,0.0
2017,Finland,FIN,FI,Libya,LBY,0,0,10,0.0
2017,Finland,FIN,FI,Mali,MLI,0,0,5,0.0
2017,Finland,FIN,FI,Morocco,MAR,0,16,59,0.0
2017,Finland,FIN,FI,Nigeria,NGA,0,65,124,0.0
2017,Finland,FIN,FI,South Africa,ZAF,0,5,5,0.0
2017,Finland,FIN,FI,Rwanda,RWA,5,0,5,100.0
2017,Finland,FIN,FI,Senegal,SEN,0,0,5,0.0
2017,Finland,FIN,FI,Sierra Leone,SLE,0,5,5,0.0
2017,Finland,FIN,FI,Somalia,SOM,106,268,496,21.37
2017,Finland,FIN,FI,Sudan,SDN,14,5,19,73.68
2017,Finland,FIN,FI,United Rep. of Tanzania,TZA,0,0,5,0.0
2017,Finland,FIN,FI,Tunisia,TUN,0,0,12,0.0
2017,Finland,FIN,FI,Uganda,UGA,0,0,10,0.0
2019,Finland,FIN,FI,Algeria,DZA,0,5,16,0.0
2019,Finland,FIN,FI,Angola,AGO,5,10,33,15.15
2019,Finland,FIN,FI,Egypt,EGY,5,13,18,27.78
2019,Finland,FIN,FI,Cameroon,CMR,14,29,61,22.95
2019,Finland,FIN,FI,Dem. Rep. of the Congo,COD,5,10,20,25.0
2019,Finland,FIN,FI,Eritrea,ERI,13,0,13,100.0
2019,Finland,FIN,FI,Ethiopia,ETH,0,21,26,0.0
2019,Finland,FIN,FI,Gambia,GMB,0,14,35,0.0
