annee,iso3_accueil,iso3_origine,nb_demandes
2015,BEL,AGO,41
2015,BEL,BDI,28
2015,BEL,BEN,26
2015,BEL,BFA,39
2015,BEL,CAF,5
2015,BEL,CIV,59
2015,BEL,CMR,152
2015,BEL,COD,381
2015,BEL,DJI,53
2015,BEL,DZA,24
2015,BEL,EGY,44
2015,BEL,ERI,31
2015,BEL,ETH,38
2015,BEL,GHA,15
2015,BEL,GIN,385
2015,BEL,GMB,25
2015,BEL,GNB,5
2015,BEL,KEN,12
2015,BEL,LBR,6
2015,BEL,MAR,44
2015,BEL,MLI,39
2015,BEL,MRT,59
2015,BEL,NER,60
2015,BEL,NGA,48
2015,BEL,RWA,156
2015,BEL,SDN,32
2015,BEL,SEN,129
2015,BEL,SLE,17
2015,BEL,SOM,80
2015,BEL,TCD,5
2015,BEL,TGO,101
2015,BEL,TUN,12
2015,BEL,TZA,8
2015,BEL,UGA,10
2015,CYP,CMR,5
2015,CYP,DZA,5
2015,CYP,EGY,39
2015,CYP,GHA,5
2015,CYP,NGA,11
2015,CYP,SEN,5
2015,DNK,CMR,5
2015,DNK,COD,6
2015,DNK,DZA,5
2015,DNK,EGY,7
2015,DNK,ERI,68
2015,DNK,ETH,44
2015,DNK,GHA,6
2015,DNK,KEN,11
2015,DNK,LBY,15
2015,DNK,MAR,14
2015,DNK,NGA,22
2015,DNK,RWA,6
2015,DNK,SDN,42
2015,DNK,SOM,147
2015,DNK,TUN,7
2015,DNK,UGA,9
2015,FRA,AGO,325
2015,FRA,BDI,5
2015,FRA,BEN,7
2015,FRA,BFA,16
2015,FRA,BWA,5
2015,FRA,CAF,41
2015,FRA,CIV,643
2015,FRA,CMR,108
2015,FRA,COD,4253
2015,FRA,COG,616
2015,FRA,COM,94
2015,FRA,DJI,13
2015,FRA,DZA,981
2015,FRA,EGY,146
2015,FRA,ERI,366
2015,FRA,ESH,232
2015,FRA,ETH,97
2015,FRA,GAB,9
2015,FRA,GHA,18
2015,FRA,GIN,1987
2015,FRA,GMB,40
2015,FRA,GNB,90
2015,FRA,KEN,12
2015,FRA,LBR,5
2015,FRA,LBY,99
2015,FRA,MAR,67
2015,FRA,MDG,49
2015,FRA,MLI,726
2015,FRA,MRT,623
2015,FRA,NER,8
2015,FRA,NGA,1035
2015,FRA,RWA,48
2015,FRA,SDN,1636
2015,FRA,SEN,144
2015,FRA,SLE,24
2015,FRA,SOM,528
2015,FRA,TCD,170
2015,FRA,TGO,107
2015,FRA,TUN,56
2015,FRA,UGA,7
2015,FRA,ZAF,7
2015,GRC,BFA,12
2015,GRC,CAF,5
2015,GRC,CIV,22
2015,GRC,CMR,92
2015,GRC,COD,35
2015,GRC,COG,5
2015,GRC,COM,6
2015,GRC,DZA,61
2015,GRC,EGY,133
2015,GRC,ERI,16
2015,GRC,ETH,29
2015,GRC,GHA,30
2015,GRC,GIN,7
2015,GRC,GMB,5
2015,GRC,KEN,11
2015,GRC,LBR,5
2015,GRC,MAR,49
2015,GRC,MLI,5
2015,GRC,MRT,8
2015,GRC,NGA,245
2015,GRC,RWA,5
2015,GRC,SDN,49
2015,GRC,SEN,61
2015,GRC,SLE,7
2015,GRC,SOM,15
2015,GRC,TGO,6
2015,GRC,TUN,17
