iso2_accueil,annee,pib_hab
AT,2015,39640.0
AT,2016,40690.0
AT,2017,41760.0
AT,2018,43360.0
AT,2019,44570.0
AT,2020,42650.0
AT,2021,45380.0
AT,2022,49640.0
AT,2023,52330.0
BE,2015,36860.0
BE,2016,37810.0
BE,2017,38980.0
BE,2018,40210.0
BE,2019,41730.0
BE,2020,40190.0
BE,2021,43680.0
BE,2022,48060.0
BE,2023,51140.0
BG,2015,6560.0
BG,2016,7070.0
BG,2017,7720.0
BG,2018,8340.0
BG,2019,9250.0
BG,2020,9440.0
BG,2021,10960.0
BG,2022,13310.0
BG,2023,14660.0
CH,2015,76770.0
CH,2016,75360.0
CH,2017,74010.0
CH,2018,73630.0
CH,2019,76680.0
CH,2020,76710.0
CH,2021,81610.0
CH,2022,92900.0
CH,2023,96280.0
CY,2015,20810.0
CY,2016,21930.0
CY,2017,23230.0
CY,2018,24660.0
CY,2019,26110.0
CY,2020,24630.0
CY,2021,27850.0
CY,2022,31560.0
CY,2023,33870.0
CZ,2015,16230.0
CZ,2016,17040.0
CZ,2017,18700.0
CZ,2018,20270.0
CZ,2019,21740.0
CZ,2020,20980.0
CZ,2021,23430.0
CZ,2022,26670.0
CZ,2023,29330.0
DE,2015,37950.0
DE,2016,39030.0
DE,2017,40630.0
DE,2018,41800.0
DE,2019,43030.0
DE,2020,42020.0
DE,2021,44910.0
DE,2022,48340.0
DE,2023,50660.0
DK,2015,47900.0
DK,2016,49270.0
DK,2017,51060.0
DK,2018,51950.0
DK,2019,53040.0
DK,2020,53540.0
DK,2021,58640.0
DK,2022,64430.0
DK,2023,62910.0
EE,2015,16000.0
EE,2016,16860.0
EE,2017,18480.0
EE,2018,20040.0
EE,2019,21490.0
EE,2020,20960.0
EE,2021,23650.0
EE,2022,27260.0
EE,2023,28080.0
EL,2015,16210.0
EL,2016,16190.0
EL,2017,16490.0
EL,2018,16830.0
EL,2019,17270.0
EL,2020,15660.0
EL,2021,17350.0
EL,2022,19570.0
EL,2023,21300.0
ES,2015,23440.0
ES,2016,24190.0
ES,2017,25160.0
ES,2018,25950.0
ES,2019,26620.0
ES,2020,23850.0
ES,2021,26090.0
ES,2022,28790.0
ES,2023,30980.0
FI,2015,38350.0
FI,2016,39250.0
FI,2017,40790.0
FI,2018,42040.0
FI,2019,43200.0
FI,2020,42740.0
FI,2021,44890.0
FI,2022,47890.0
FI,2023,48950.0
FR,2015,33200.0
FR,2016,33530.0
FR,2017,34290.0
FR,2018,35080.0
FR,2019,36090.0
FR,2020,34280.0
FR,2021,36920.0
FR,2022,38920.0
FR,2023,41340.0
HR,2015,10960.0
HR,2016,11610.0
HR,2017,12430.0
HR,2018,13310.0
HR,2019,14130.0
HR,2020,12980.0
HR,2021,15070.0
HR,2022,17540.0
HR,2023,20530.0
HU,2015,11520.0
HU,2016,11950.0
HU,2017,13080.0
HU,2018,14070.0
HU,2019,15200.0
HU,2020,14370.0
HU,2021,16090.0
HU,2022,17550.0
HU,2023,20560.0
IE,2015,57980.0
IE,2016,58060.0
IE,2017,63960.0
IE,2018,68530.0
IE,2019,73230.0
IE,2020,75820.0
IE,2021,88070.0
IE,2022,100140.0
IE,2023,99080.0
IT,2015,27620.0
IT,2016,28360.0
IT,2017,29070.0
IT,2018,29690.0
IT,2019,30200.0
IT,2020,28100.0
IT,2021,31160.0
IT,2022,33860.0
IT,2023,36330.0
LT,2015,12860.0
LT,2016,13490.0
LT,2017,14870.0
LT,2018,16300.0
LT,2019,17520.0
LT,2020,17890.0
LT,2021,20190.0
LT,2022,23690.0
LT,2023,25880.0
LU,2015,95090.0
LU,2016,96230.0
LU,2017,97440.0
LU,2018,98870.0
LU,2019,100420.0
LU,2020,102190.0
LU,2021,113920.0
LU,2022,117100.0
LU,2023,122970.0
LV,2015,12010.0
LV,2016,12500.0
LV,2017,13400.0
LV,2018,14620.0
LV,2019,15450.0
LV,2020,15370.0
LV,2021,17130.0
LV,2022,19130.0
LV,2023,21030.0
MT,2015,23000.0
MT,2016,23900.0
MT,2017,26820.0
MT,2018,28240.0
MT,2019,28920.0
MT,2020,27870.0
MT,2021,32190.0
MT,2022,33810.0
MT,2023,37800.0
NL,2015,41270.0
NL,2016,42290.0
NL,2017,43830.0
NL,2018,45690.0
NL,2019,47840.0
NL,2020,46810.0
NL,2021,50850.0
NL,2022,56140.0
NL,2023,58740.0
NO,2015,67390.0
NO,2016,64060.0
NO,2017,67520.0
NO,2018,70150.0
NO,2019,68270.0
NO,2020,60020.0
NO,2021,78670.0
NO,2022,103990.0
NO,2023,80890.0
PL,2015,11390.0
PL,2016,11270.0
PL,2017,12360.0
PL,2018,13280.0
PL,2019,14190.0
PL,2020,14310.0
PL,2021,15770.0
PL,2022,17520.0
PL,2023,19980.0
PT,2015,17280.0
PT,2016,18000.0
PT,2017,18910.0
PT,2018,19840.0
PT,2019,20710.0
PT,2020,19360.0
PT,2021,20800.0
PT,2022,23300.0
PT,2023,25560.0
RO,2015,8090.0
RO,2016,8500.0
RO,2017,9510.0
RO,2018,10510.0
RO,2019,11520.0
RO,2020,11390.0
RO,2021,12590.0
RO,2022,14740.0
RO,2023,16870.0
SE,2015,46160.0
SE,2016,46790.0
SE,2017,47210.0
SE,2018,45770.0
SE,2019,46110.0
SE,2020,46180.0
SE,2021,51260.0
SE,2022,51980.0
SE,2023,50490.0
SI,2015,18660.0
SI,2016,19380.0
SI,2017,20630.0
SI,2018,21940.0
SI,2019,23050.0
SI,2020,22230.0
SI,2021,24690.0
SI,2022,26970.0
SI,2023,30200.0
SK,2015,14820.0
SK,2016,15030.0
SK,2017,15620.0
SK,2018,16580.0
SK,2019,17340.0
SK,2020,17270.0
SK,2021,18730.0
SK,2022,20150.0
SK,2023,22640.0
